# Wooden cross
; Floor 1
-1 3 -1 default:wood
-1 3 0 default:wood
-1 3 1 default:wood
-1 3 2 default:wood
0 3 -1 default:wood
0 3 0 default:wood
0 3 1 default:wood
0 3 2 default:wood
1 3 -1 default:wood
1 3 0 default:wood
1 3 1 default:wood
1 3 2 default:wood
2 3 -1 default:wood
2 3 0 default:wood
2 3 1 default:wood
2 3 2 default:wood
-1 0 -1 default:wood
-1 0 0 default:wood
-1 0 1 default:wood
-1 0 2 default:wood
0 0 -1 default:wood
0 0 0 default:wood
0 0 1 default:wood
0 0 2 default:wood
1 0 -1 default:wood
1 0 0 default:wood
1 0 1 default:wood
1 0 2 default:wood
2 0 -1 default:wood
2 0 0 default:wood
2 0 1 default:wood
2 0 2 default:wood
-1 1 1 default:wood
-1 1 2 default:wood
2 1 1 default:wood
2 1 2 default:wood
-1 2 1 default:wood
-1 2 2 default:wood
2 2 1 default:wood
2 2 2 default:wood
-1 2 1 default:wood
-1 2 2 default:wood
2 2 0 default:wood
2 2 -1 default:wood
2 1 0 default:wood
2 1 -1 default:wood
-1 2 0 default:wood
-1 2 -1 default:wood
-1 1 0 default:wood
-1 1 -1 default:wood
1 1 -1 default:wood
1 2 -1 default:wood
2 1 -1 default:wood
2 2 -1 default:wood
0 1 -1 default:wood
0 2 -1 default:wood
1 1 2 default:wood
1 2 2 default:wood
